"","ID","sample","Age","domain","propImmediate"
"1042",2100,"Replication",73,"Health",0.976190476190476
"1043",2101,"Replication",53,"Health",0.333333333333333
"1044",2102,"Replication",40,"Health",1
"1045",2103,"Replication",55,"Health",0.952380952380952
"1046",2104,"Replication",26,"Health",0.785714285714286
"1047",2105,"Replication",28,"Health",0.738095238095238
"1048",2106,"Replication",70,"Health",1
"1049",2107,"Replication",37,"Health",0.595238095238095
"1050",2108,"Replication",58,"Health",1
"1051",2109,"Replication",30,"Health",0.80952380952381
"1052",2110,"Replication",61,"Health",1
"1053",2111,"Replication",80,"Health",1
"1054",2112,"Replication",35,"Health",0.80952380952381
"1055",2113,"Replication",24,"Health",0
"1056",2114,"Replication",33,"Health",0.761904761904762
"1057",2115,"Replication",68,"Health",1
"1058",2116,"Replication",29,"Health",0.976190476190476
"1059",2117,"Replication",26,"Health",0
"1060",2118,"Replication",60,"Health",0.80952380952381
"1061",2119,"Replication",52,"Health",0.523809523809524
"1062",2120,"Replication",50,"Health",0.976190476190476
"1063",2121,"Replication",47,"Health",0.30952380952381
"1064",2122,"Replication",84,"Health",0
"1065",2123,"Replication",27,"Health",1
"1066",2124,"Replication",66,"Health",1
"1067",2125,"Replication",20,"Health",0.0952380952380952
"1068",2126,"Replication",29,"Health",0.904761904761905
"1069",2127,"Replication",36,"Health",0.523809523809524
"1070",2128,"Replication",69,"Health",0.928571428571429
"1071",2129,"Replication",66,"Health",0.452380952380952
"1072",2130,"Replication",36,"Health",0.976190476190476
"1073",2131,"Replication",45,"Health",1
"1074",2132,"Replication",67,"Health",1
"1075",2133,"Replication",35,"Health",0.904761904761905
"1076",2134,"Replication",18,"Health",0.0238095238095238
"1077",2135,"Replication",44,"Health",1
"1078",2136,"Replication",32,"Health",0.476190476190476
"1079",2137,"Replication",35,"Health",0.69047619047619
"1080",2138,"Replication",22,"Health",0.5
"1081",2139,"Replication",47,"Health",0.428571428571429
"1082",2140,"Replication",66,"Health",0.952380952380952
"1083",2141,"Replication",50,"Health",0.952380952380952
"1084",2142,"Replication",29,"Health",0.142857142857143
"1085",2143,"Replication",62,"Health",0.904761904761905
"1086",2144,"Replication",49,"Health",0.476190476190476
"1087",2145,"Replication",65,"Health",1
"1088",2146,"Replication",18,"Health",0.619047619047619
"1089",2147,"Replication",34,"Health",0.476190476190476
"1090",2148,"Replication",18,"Health",0.0238095238095238
"1091",2149,"Replication",61,"Health",1
"1092",2150,"Replication",69,"Health",0.976190476190476
"1093",2151,"Replication",52,"Health",0.0238095238095238
"1094",2152,"Replication",71,"Health",1
"1095",2153,"Replication",40,"Health",0.357142857142857
"1096",2154,"Replication",22,"Health",1
"1097",2155,"Replication",71,"Health",1
"1098",2156,"Replication",58,"Health",0.976190476190476
"1099",2157,"Replication",51,"Health",0.928571428571429
"1100",2158,"Replication",52,"Health",0.0714285714285714
"1101",2159,"Replication",31,"Health",1
"1102",2160,"Replication",54,"Health",0.80952380952381
"1103",2161,"Replication",25,"Health",0.976190476190476
"1104",2162,"Replication",67,"Health",0.976190476190476
"1105",2163,"Replication",49,"Health",0.880952380952381
"1106",2164,"Replication",53,"Health",0
"1107",2165,"Replication",21,"Health",0.880952380952381
"1108",2166,"Replication",44,"Health",0.976190476190476
"1109",2167,"Replication",63,"Health",0.166666666666667
"1110",2168,"Replication",19,"Health",1
"1111",2169,"Replication",43,"Health",0.952380952380952
"1112",2170,"Replication",67,"Health",1
"1113",2171,"Replication",21,"Health",0.523809523809524
"1114",2172,"Replication",31,"Health",0.452380952380952
"1115",2173,"Replication",31,"Health",0.30952380952381
