"","ID","sample","Age","domain","propImmediate"
"1270",2085,"Matching",64,"Social",0.738095238095238
"1271",2086,"Matching",45,"Social",1
"1274",2089,"Matching",72,"Social",0.928571428571429
"1275",2090,"Matching",67,"Social",0.261904761904762
"1277",2092,"Matching",74,"Social",0.857142857142857
"1280",2095,"Matching",54,"Social",1
"1283",2098,"Matching",71,"Social",1
"1284",2099,"Matching",48,"Social",0.119047619047619
"1285",2100,"Matching",73,"Social",0.976190476190476
"1287",2102,"Matching",40,"Social",0.976190476190476
"1288",2103,"Matching",55,"Social",0.976190476190476
"1289",2104,"Matching",26,"Social",0.976190476190476
"1290",2105,"Matching",28,"Social",0.738095238095238
"1291",2106,"Matching",70,"Social",1
"1292",2107,"Matching",37,"Social",0.666666666666667
"1293",2108,"Matching",58,"Social",0.976190476190476
"1295",2110,"Matching",61,"Social",1
"1296",2111,"Matching",80,"Social",1
"1297",2112,"Matching",35,"Social",1
"1301",2116,"Matching",29,"Social",1
"1303",2118,"Matching",60,"Social",1
"1304",2119,"Matching",52,"Social",0.80952380952381
"1305",2120,"Matching",50,"Social",0.833333333333333
"1307",2122,"Matching",84,"Social",1
"1344",2159,"Matching",31,"Social",1
"1400",2215,"Matching",80,"Social",1
"1402",2217,"Matching",81,"Social",1
"7100",2,"Original",22,"Health",0.69047619047619
"8100",2,"Original",22,"Money",0.72093023255814
"9100",2,"Original",22,"Social",0.813953488372093
"1610",3,"Original",23,"Health",0.619047619047619
"1710",3,"Original",23,"Money",0.604651162790698
"1810",3,"Original",23,"Social",0.697674418604651
"2510",5,"Original",22,"Health",0
"2610",5,"Original",22,"Money",0.325581395348837
"2710",5,"Original",22,"Social",0.465116279069767
"3410",7,"Original",32,"Health",0.547619047619048
"3510",7,"Original",32,"Money",0.581395348837209
"3610",7,"Original",32,"Social",0.651162790697674
"5210",9,"Original",34,"Health",0.452380952380952
"5310",9,"Original",34,"Money",0.255813953488372
"5410",9,"Original",34,"Social",0.534883720930233
"5610",12,"Original",46,"Health",0.857142857142857
"5710",12,"Original",46,"Money",0.13953488372093
"5810",12,"Original",46,"Social",0.674418604651163
"7010",13,"Original",58,"Health",0.547619047619048
"7110",13,"Original",58,"Money",0.534883720930233
"7210",13,"Original",58,"Social",0.697674418604651
"7910",15,"Original",35,"Health",0.642857142857143
"8010",15,"Original",35,"Money",0.372093023255814
"8110",15,"Original",35,"Social",0.813953488372093
"8810",16,"Original",80,"Health",0.785714285714286
"8910",16,"Original",80,"Money",0.813953488372093
"9010",16,"Original",80,"Social",0.767441860465116
"9710",19,"Original",48,"Health",0.214285714285714
"9810",19,"Original",48,"Money",0
"9910",19,"Original",48,"Social",0.302325581395349
"10610",20,"Original",34,"Health",0.547619047619048
"10710",20,"Original",34,"Money",0.302325581395349
"10810",20,"Original",34,"Social",0.511627906976744
"11510",21,"Original",54,"Health",0.952380952380952
"11610",21,"Original",54,"Money",0.116279069767442
"11710",21,"Original",54,"Social",0.627906976744186
"12410",27,"Original",62,"Health",0.476190476190476
"12510",27,"Original",62,"Money",0.279069767441861
"12610",27,"Original",62,"Social",0.488372093023256
"13310",28,"Original",43,"Health",0.761904761904762
"13410",28,"Original",43,"Money",0.558139534883721
"13510",28,"Original",43,"Social",0.790697674418605
"1429",31,"Original",40,"Health",0.119047619047619
"1431",31,"Original",40,"Money",0.372093023255814
"1441",31,"Original",40,"Social",0.465116279069767
"1511",32,"Original",31,"Health",0.0238095238095239
"1521",32,"Original",31,"Money",0.023255813953488
"1531",32,"Original",31,"Social",0.534883720930233
"1601",34,"Original",46,"Health",0.357142857142857
"1611",34,"Original",46,"Money",0.162790697674419
"1621",34,"Original",46,"Social",0.604651162790698
"1691",35,"Original",57,"Health",0.0238095238095239
"1701",35,"Original",57,"Money",0.046511627906977
"1711",35,"Original",57,"Social",0.976744186046512
"1781",36,"Original",43,"Health",0.952380952380952
"1791",36,"Original",43,"Money",0.023255813953488
"1801",36,"Original",43,"Social",0.604651162790698
"1871",38,"Original",46,"Health",0.785714285714286
"1881",38,"Original",46,"Money",0.581395348837209
"1891",38,"Original",46,"Social",0.744186046511628
"1961",41,"Original",42,"Health",1
"1971",41,"Original",42,"Money",0.279069767441861
"1981",41,"Original",42,"Social",0.744186046511628
"2051",42,"Original",48,"Health",0.880952380952381
"2061",42,"Original",48,"Money",0.744186046511628
"2071",42,"Original",48,"Social",1
"2141",44,"Original",48,"Health",0.738095238095238
"2151",44,"Original",48,"Money",0.186046511627907
"2161",44,"Original",48,"Social",0.744186046511628
"2231",45,"Original",40,"Health",0.30952380952381
"2241",45,"Original",40,"Money",0.116279069767442
"2251",45,"Original",40,"Social",0.348837209302326
"2411",48,"Original",40,"Health",0.333333333333333
"2421",48,"Original",40,"Money",0.046511627906977
"2431",48,"Original",40,"Social",0.441860465116279
"2501",49,"Original",25,"Health",0.785714285714286
"2511",49,"Original",25,"Money",0.883720930232558
"2521",49,"Original",25,"Social",0.930232558139535
"2591",52,"Original",59,"Health",0.80952380952381
"2601",52,"Original",59,"Money",0.697674418604651
"2611",52,"Original",59,"Social",0.837209302325581
"2681",53,"Original",27,"Health",0.714285714285714
"2691",53,"Original",27,"Money",0.372093023255814
"2701",53,"Original",27,"Social",0.697674418604651
"2771",61,"Original",23,"Health",0.571428571428571
"2781",61,"Original",23,"Money",0.162790697674419
"2791",61,"Original",23,"Social",0.604651162790698
"2861",62,"Original",32,"Health",0
"2871",62,"Original",32,"Money",0.488372093023256
"2881",62,"Original",32,"Social",0.627906976744186
"3041",65,"Original",77,"Health",0.761904761904762
"3051",65,"Original",77,"Money",0.255813953488372
"3061",65,"Original",77,"Social",0.790697674418605
"3131",66,"Original",26,"Health",0.595238095238095
"3141",66,"Original",26,"Money",0.534883720930233
"3151",66,"Original",26,"Social",0.488372093023256
"3221",67,"Original",28,"Health",0
"3231",67,"Original",28,"Money",0
"3241",67,"Original",28,"Social",0.441860465116279
"3311",68,"Original",26,"Health",0
"3321",68,"Original",26,"Money",0
"3331",68,"Original",26,"Social",0.302325581395349
"3401",71,"Original",55,"Health",0.452380952380952
"3411",71,"Original",55,"Money",0.13953488372093
"3421",71,"Original",55,"Social",0.581395348837209
"3491",73,"Original",30,"Health",0.833333333333333
"3501",73,"Original",30,"Money",0.790697674418605
"3511",73,"Original",30,"Social",0.767441860465116
"3581",75,"Original",26,"Health",0.595238095238095
"3591",75,"Original",26,"Money",0.534883720930233
"3601",75,"Original",26,"Social",0.418604651162791
"3671",77,"Original",81,"Health",0.5
"3681",77,"Original",81,"Money",0.488372093023256
"3691",77,"Original",81,"Social",0.837209302325581
"3761",81,"Original",67,"Health",0.976190476190476
"3771",81,"Original",67,"Money",0.581395348837209
"3781",81,"Original",67,"Social",1
"3851",82,"Original",34,"Health",0.547619047619048
"3861",82,"Original",34,"Money",0.651162790697674
"3871",82,"Original",34,"Social",0.813953488372093
"3941",86,"Original",73,"Health",0.833333333333333
"3951",86,"Original",73,"Money",0.744186046511628
"3961",86,"Original",73,"Social",0.86046511627907
"4031",88,"Original",65,"Health",0.547619047619048
"4041",88,"Original",65,"Money",0.441860465116279
"4051",88,"Original",65,"Social",1
"4121",90,"Original",50,"Health",0.428571428571429
"4131",90,"Original",50,"Money",0.534883720930233
"4141",90,"Original",50,"Social",1
"4211",91,"Original",71,"Health",1
"4221",91,"Original",71,"Money",0.674418604651163
"4231",91,"Original",71,"Social",0.906976744186046
"4301",92,"Original",36,"Health",0.357142857142857
"4311",92,"Original",36,"Money",0.604651162790698
"4321",92,"Original",36,"Social",0.372093023255814
"4391",93,"Original",66,"Health",0.452380952380952
"4401",93,"Original",66,"Money",0.790697674418605
"4411",93,"Original",66,"Social",0.930232558139535
"4481",96,"Original",55,"Health",0.69047619047619
"4491",96,"Original",55,"Money",0.465116279069767
"4501",96,"Original",55,"Social",0.697674418604651
"4571",97,"Original",53,"Health",0.928571428571429
"4581",97,"Original",53,"Money",0.093023255813954
"4591",97,"Original",53,"Social",0.953488372093023
"4651",100,"Original",62,"Social",0.790697674418605
"4671",100,"Original",62,"Health",0.619047619047619
"4681",100,"Original",62,"Money",0.697674418604651
"4701",101,"Original",78,"Health",0.69047619047619
"4711",101,"Original",78,"Money",0.697674418604651
"4721",101,"Original",78,"Social",0.604651162790698
"4841",103,"Original",63,"Health",0.357142857142857
"4851",103,"Original",63,"Money",0.418604651162791
"4861",103,"Original",63,"Social",0.441860465116279
"4921",106,"Original",65,"Health",0.642857142857143
"4931",106,"Original",65,"Money",0.418604651162791
"4941",106,"Original",65,"Social",0.604651162790698
